 Hgtkm DensMean DensPert
0 0 1.1656 1.1656
1 0.5 1.1117 1.1117
2 1 1.06 1.06
3 1.5 1.0101 1.0101
4 2 0.96405 0.96405
5 2.5 0.91875 0.91875
6 3 0.87485 0.87485
7 3.5 0.83389 0.83389
8 4 0.79521 0.79521
9 4.5 0.75791 0.75791
10 5 0.72062 0.72062
11 5.5 0.68516 0.68516
12 6 0.65099 0.65099
13 6.5 0.61753 0.61753
14 7 0.5858 0.5858
15 7.5 0.5557 0.5557
16 8 0.52637 0.52637
17 8.5 0.49854 0.49854
18 9 0.47219 0.47219
19 9.5 0.44723 0.44723
20 10 0.42223 0.42223
21 10.5 0.39833 0.39833
22 11 0.37498 0.37498
23 11.5 0.35148 0.35148
24 12 0.32946 0.32946
25 12.5 0.30821 0.30821
26 13 0.2875 0.2875
27 13.5 0.26819 0.26819
28 14 0.25018 0.25018
29 14.5 0.23224 0.23224
30 15 0.21522 0.21522
31 15.5 0.19945 0.19945
32 16 0.18484 0.18484
33 16.5 0.1713 0.1713
34 17 0.15766 0.15766
35 17.5 0.14477 0.14477
36 18 0.13294 0.13294
37 18.5 0.12208 0.12208
38 19 0.11216 0.11216
39 19.5 0.10313 0.10313
40 20 0.09483 0.09483
41 20.5 0.087198 0.087198
42 21 0.080207 0.080207
43 21.5 0.073926 0.073926
44 22 0.068138 0.068138
45 22.5 0.062804 0.062804
46 23 0.057888 0.057888
47 23.5 0.053357 0.053357
48 24 0.049182 0.049182
49 24.5 0.045387 0.045387
50 25 0.041919 0.041919
51 25.5 0.038717 0.038717
52 26 0.035759 0.035759
53 26.5 0.033028 0.033028
54 27 0.030517 0.030517
55 27.5 0.028214 0.028214
56 28 0.02607 0.02607
57 28.5 0.024079 0.024079
58 29 0.022235 0.022235
59 29.5 0.020534 0.020534
60 30 0.018972 0.018972
61 30.5 0.017528 0.017528
62 31 0.016206 0.016206
63 31.5 0.014997 0.014997
64 32 0.013887 0.013887
65 32.5 0.012864 0.012864
66 33 0.01192 0.01192
67 33.5 0.011049 0.011049
68 34 0.010245 0.010245
69 34.5 0.0095026 0.0095026
70 35 0.0088171 0.0088171
