 Hgtkm DensMean DensPert
1421946 0.0 1.1656 1.1597
1421947 0.5 1.1117 1.0926
1421948 1.0 1.06 1.0539
1421949 1.5 1.0101 1.0093
1421950 2.0 0.96405 0.96671
1421951 2.5 0.91875 0.92397
1421952 3.0 0.87485 0.87786
1421953 3.5 0.83389 0.83581
1421954 4.0 0.79521 0.80043
1421955 4.5 0.75791 0.76493
1421956 5.0 0.72062 0.72947
1421957 5.5 0.68516 0.69457
1421958 6.0 0.65099 0.65865
1421959 6.5 0.61753 0.62496
1421960 7.0 0.5858 0.59307
1421961 7.5 0.5557 0.56252
1421962 8.0 0.52637 0.53232
1421963 8.5 0.49854 0.5056
1421964 9.0 0.47219 0.47869
1421965 9.5 0.44723 0.45326
1421966 10.0 0.42223 0.42918
1421967 10.5 0.39833 0.40365
1421968 11.0 0.37498 0.38116
1421969 11.5 0.35148 0.3593
1421970 12.0 0.32946 0.33682
1421971 12.5 0.30821 0.31368
1421972 13.0 0.2875 0.29161
1421973 13.5 0.26819 0.27064
1421974 14.0 0.25018 0.2526
1421975 14.5 0.23224 0.23385
1421976 15.0 0.21522 0.21363
1421977 15.5 0.19945 0.19886
1421978 16.0 0.18484 0.18495
1421979 16.5 0.1713 0.17199
1421980 17.0 0.15766 0.15772
1421981 17.5 0.14477 0.14405
1421982 18.0 0.13294 0.1333
1421983 18.5 0.12208 0.12226
1421984 19.0 0.11216 0.11184
1421985 19.5 0.10313 0.10169
1421986 20.0 0.09483 0.093592
1421987 20.5 0.087198 0.086529
1421988 21.0 0.080207 0.079947
1421989 21.5 0.073926 0.073688
1421990 22.0 0.068138 0.067667
1421991 22.5 0.062804 0.062331
1421992 23.0 0.057888 0.057564
1421993 23.5 0.053357 0.053207
1421994 24.0 0.049182 0.049111
1421995 24.5 0.045387 0.044953
1421996 25.0 0.041919 0.04187
1421997 25.5 0.038717 0.038832
1421998 26.0 0.035759 0.035434
1421999 26.5 0.033028 0.032766
1422000 27.0 0.030517 0.030263
1422001 27.5 0.028214 0.027787
1422002 28.0 0.02607 0.025749
1422003 28.5 0.024079 0.023676
1422004 29.0 0.022235 0.02196
1422005 29.5 0.020534 0.020291
1422006 30.0 0.018972 0.018692
1422007 30.5 0.017528 0.017179
1422008 31.0 0.016206 0.015765
1422009 31.5 0.014997 0.014635
1422010 32.0 0.013887 0.013633
1422011 32.5 0.012864 0.012724
1422012 33.0 0.01192 0.011655
1422013 33.5 0.011049 0.010677
1422014 34.0 0.010245 0.0099319
1422015 34.5 0.0095026 0.0091781
1422016 35.0 0.0088171 0.0085912
1422017 35.5 0.0081759 0.0080257
1422018 36.0 0.0075843 0.0075395
1422019 36.5 0.0070383 0.0068975
1422020 37.0 0.0065342 0.0064866
1422021 37.5 0.0060686 0.0060164
1422022 38.0 0.0056384 0.0055562
1422023 38.5 0.0052406 0.0051892
1422024 39.0 0.0048728 0.0048075
1422025 39.5 0.0045324 0.0045046
1422026 40.0 0.0042174 0.0042362
1422027 40.5 0.0039312 0.0039394
1422028 41.0 0.0036655 0.0036805
1422029 41.5 0.0034187 0.0034695
1422030 42.0 0.0031894 0.0032291
1422031 42.5 0.0029763 0.00304
1422032 43.0 0.0027781 0.0028579
1422033 43.5 0.0025939 0.0026868
1422034 44.0 0.0024226 0.0024876
1422035 44.5 0.0022632 0.0023074
1422036 45.0 0.0021148 0.0021319
1422037 45.5 0.001983 0.0020205
1422038 46.0 0.0018594 0.0018557
1422039 46.5 0.0017437 0.001732
1422040 47.0 0.0016352 0.0016042
1422041 47.5 0.0015336 0.0014894
1422042 48.0 0.0014384 0.0014368
1422043 48.5 0.0013491 0.0013578
1422044 49.0 0.0012654 0.0012993
1422045 49.5 0.001187 0.001246
1422046 50.0 0.0011135 0.0011724
1422047 50.5 0.0010487 0.0010929
1422048 51.0 0.00098743 0.0010315
1422049 51.5 0.00092954 0.00097268
1422050 52.0 0.00087485 0.00090576
1422051 52.5 0.00082321 0.00084478
1422052 53.0 0.00077443 0.00080738
1422053 53.5 0.00072839 0.00074917
1422054 54.0 0.00068493 0.00069566
1422055 54.5 0.00064391 0.00063862
1422056 55.0 0.00060522 0.00060545
1422057 55.5 0.00056946 0.00057709
1422058 56.0 0.00053563 0.0005583
1422059 56.5 0.00050363 0.00052186
1422060 57.0 0.00047338 0.00048445
1422061 57.5 0.0004448 0.00046119
1422062 58.0 0.00041778 0.0004326
1422063 58.5 0.00039227 0.00040753
1422064 59.0 0.00036818 0.00038277
1422065 59.5 0.00034544 0.00035111
1422066 60.0 0.00032399 0.00032644
1422067 60.5 0.00030372 0.000305
1422068 61.0 0.00028463 0.00028311
1422069 61.5 0.00026664 0.00026413
1422070 62.0 0.00024971 0.00025252
1422071 62.5 0.00023377 0.00023972
1422072 63.0 0.00021877 0.00022579
1422073 63.5 0.00020467 0.00020811
1422074 64.0 0.0001914 0.00019101
1422075 64.5 0.00017893 0.00017901
1422076 65.0 0.00016721 0.00016805
1422077 65.5 0.0001562 0.00015703
1422078 66.0 0.00014585 0.00014462
1422079 66.5 0.00013614 0.00013178
1422080 67.0 0.00012702 0.00012394
1422081 67.5 0.00011847 0.00011602
1422082 68.0 0.00011044 0.00010766
1422083 68.5 0.00010291 0.00010138
1422084 69.0 9.586e-05 9.2642e-05
1422085 69.5 8.9252e-05 8.7493e-05
1422086 70.0 8.3063e-05 8.0691e-05
1422087 70.5 7.7163e-05 7.7605e-05
1422088 71.0 7.1662e-05 7.2175e-05
1422089 71.5 6.6533e-05 6.7053e-05
1422090 72.0 6.1754e-05 6.2803e-05
1422091 72.5 5.73e-05 5.6793e-05
1422092 73.0 5.3152e-05 5.2107e-05
1422093 73.5 4.929e-05 4.9825e-05
1422094 74.0 4.5694e-05 4.6539e-05
1422095 74.5 4.2348e-05 4.4347e-05
1422096 75.0 3.9234e-05 4.0139e-05
1422097 75.5 3.6322e-05 3.7439e-05
1422098 76.0 3.362e-05 3.4614e-05
1422099 76.5 3.1114e-05 3.1871e-05
1422100 77.0 2.879e-05 2.9908e-05
1422101 77.5 2.6635e-05 2.7827e-05
1422102 78.0 2.4638e-05 2.6433e-05
1422103 78.5 2.2786e-05 2.3827e-05
1422104 79.0 2.107e-05 2.1902e-05
1422105 79.5 1.948e-05 2.0258e-05
1422106 80.0 1.8007e-05 1.8719e-05
