 HgtMOLA Denkgm3 DensP
1577133 0.0 0.01466 1.031
1577134 0.5 0.01394 1.016
1577135 1.0 0.01327 1.008
1577136 1.5 0.01274 1.006
1577137 2.0 0.01223 1.001
1577138 2.5 0.01171 0.998
1577139 3.0 0.01122 0.99
1577140 3.5 0.01073 0.987
1577141 4.0 0.01027 0.981
1577142 4.5 0.00982 0.981
1577143 5.0 0.009393 0.978
1577144 5.5 0.008985 0.984
1577145 6.0 0.008594 0.978
1577146 6.5 0.008223 0.989
1577147 7.0 0.007868 0.99
1577148 7.5 0.00753 0.993
1577149 8.0 0.007206 0.993
1577150 8.5 0.006897 1.0
1577151 9.0 0.006602 1.014
1577152 9.5 0.006318 1.018
1577153 10.0 0.006047 1.026
1577154 10.5 0.005785 1.028
1577155 11.0 0.005535 1.037
1577156 11.5 0.005295 1.02
1577157 12.0 0.005067 1.016
1577158 12.5 0.004848 1.009
1577159 13.0 0.004639 1.016
1577160 13.5 0.004439 1.017
1577161 14.0 0.004248 1.002
1577162 14.5 0.004065 1.011
1577163 15.0 0.003891 1.004
1577164 15.5 0.003712 0.99
1577165 16.0 0.003541 0.996
1577166 16.5 0.003379 1.01
1577167 17.0 0.003224 1.014
1577168 17.5 0.003076 1.006
1577169 18.0 0.002935 0.997
1577170 18.5 0.002801 1.004
1577171 19.0 0.002672 1.0
1577172 19.5 0.00255 1.005
1577173 20.0 0.002434 1.009
1577174 20.5 0.002313 1.007
1577175 21.0 0.002198 1.013
1577176 21.5 0.002089 1.016
1577177 22.0 0.001985 0.998
1577178 22.5 0.001887 0.994
1577179 23.0 0.001793 0.976
1577180 23.5 0.001704 0.997
1577181 24.0 0.00162 1.0
1577182 24.5 0.00154 0.987
1577183 25.0 0.001464 1.0
1577184 25.5 0.001386 1.001
1577185 26.0 0.001313 1.008
1577186 26.5 0.001244 0.995
1577187 27.0 0.001178 1.016
1577188 27.5 0.001116 1.02
1577189 28.0 0.001057 1.008
1577190 28.5 0.001001 1.016
1577191 29.0 0.0009483 1.023
1577192 29.5 0.0008984 1.027
1577193 30.0 0.000851 1.016
1577194 30.5 0.0008045 0.977
1577195 31.0 0.0007606 0.955
1577196 31.5 0.0007191 0.958
1577197 32.0 0.0006798 0.976
1577198 32.5 0.0006427 0.965
1577199 33.0 0.0006077 0.991
1577200 33.5 0.0005745 0.963
1577201 34.0 0.0005432 0.964
1577202 34.5 0.0005136 0.961
1577203 35.0 0.0004856 0.969
1577204 35.5 0.0004579 0.975
1577205 36.0 0.0004319 0.962
1577206 36.5 0.0004073 0.998
1577207 37.0 0.0003842 0.982
1577208 37.5 0.0003624 0.985
1577209 38.0 0.0003419 0.961
1577210 38.5 0.0003226 0.941
1577211 39.0 0.0003043 0.954
1577212 39.5 0.0002872 0.933
1577213 40.0 0.000271 0.939
1577214 40.5 0.000254 0.926
1577215 41.0 0.0002381 0.924
1577216 41.5 0.0002232 0.922
1577217 42.0 0.0002093 0.929
1577218 42.5 0.0001962 0.944
1577219 43.0 0.000184 0.968
1577220 43.5 0.0001725 0.982
1577221 44.0 0.0001618 0.979
1577222 44.5 0.0001517 0.977
1577223 45.0 0.0001423 0.964
1577224 45.5 0.0001322 0.981
1577225 46.0 0.0001228 1.005
1577226 46.5 0.0001141 0.994
1577227 47.0 0.000106 0.988
1577228 47.5 9.848e-05 0.96
1577229 48.0 9.15e-05 0.955
1577230 48.5 8.501e-05 0.948
1577231 49.0 7.899e-05 0.97
1577232 49.5 7.339e-05 0.974
1577233 50.0 6.82e-05 0.965
1577234 50.5 6.294e-05 0.975
